awb_number,seller_node,Seller name,Seller address,Client,hub,destination_hub,aligned_seller_node,aligned_seller_address,name_match_score,address_match_score,combined_match_score,confidence_tier,client_match_score,matched_ge_threshold,hub_already_aligned,cluster_code,cluster_code_missing,pincode_update_required
69960743,FKS_563130_8ec65194,Mohan,MarasandraandMadnahattiVenkatapuraVillagesKasabaHobliMalurTalukDistKolarMalurBangalore563130Karnataka,FK Seller - Large,BLR_DC_FMRTS,BXD_DC_FMRTS,FKS_563130_770d1d70,Marasandra and Madnahatti Venkatapura Villages Kasaba Hobli Malur Taluk Dist KolarMalur,62.5,86.51685,79.3118,Medium,100.0,False,False,AZ07,False,False
R10000003EXU,EXU_110083_6a49dac5fef2721843783f6d,JOOTIYAPA,"JOOTIYAPA B329 MANGOLPURI PHASE 1 , DELHI 110083",Expressfly Regular,TAU_DC_FMRTS,DEL_Sultanpuri_CPC,N_110083_LOC67520994a8f4409e82404c2da4a9ebfa,"B329 ,, Mangol Puri Industrial Area Phase I",100.0,54.054054,67.83784,Low,38.46154,False,False,PIN1,False,False
R10000031UNE,UNE_711302_89ce1250,Universal Corporation Limited Sankrail,"C/o New Era DealCom Private Limited Sankrail Food Park, Plot No. F14 & 15 Kendua Panchayat, Mouza  Jaldhulagari, VIA: Andul, Post Office Dhulagarh, Police Station Sankrail, National Highway 6, Howrah  711302, West Bengal",Universal Corp - Heavy,CDL_DC_FMRTS,,,,64.15094,35.955055,44.413822,None,0.0,False,False,UNV1,False,False
R10000439UNE,UNE_711302_89ce1250,Universal Corporation Limited Sankrail,"C/o New Era DealCom Private Limited Sankrail Food Park, Plot No. F14 & 15 Kendua Panchayat, Mouza  Jaldhulagari, VIA: Andul, Post Office Dhulagarh, Police Station Sankrail, National Highway 6, Howrah  711302, West Bengal",Universal Corp - Heavy,CDL_DC_FMRTS,,,,64.15094,35.955055,44.413822,None,0.0,False,False,UNV1,False,False
R1350685318V,V_421302_b6925c23,CHUMBAK DESIGN PVT LTD,"Survey Nos 42/2,51/4,51/5B(old sno.51/51A+B), 51/5A+6B,51/5B+6A,51/6,57/17,57/18, K Square Logistics Park, Prakhhyat Infraprojects Pvt Ltd,, Building No 9, Near Padgha Toll Naka, Mumbai Nashik Highway, Tal -Bhiwandi, District Thane-421302, Maharashtra",Flipkart MH Volumetric,MDC_DC_FMRTS,,,,100.0,33.72549,53.607845,None,0.0,False,False,FK06,False,False
R1784746183F,F_302026_e800033c,MyntraMH_JAI,MyntraMH_JAI P. No -976-85  987  990  970  975 Village Sirani Mai Ganpatpura Sub-Tehsil Bagru  Tehsil- Sanganer & District Jaipur  Rajasthan- 302026,Flipkart MH Handover,JPR_DC_FMRTS,,,,72.72727,42.211056,51.36592,None,0.0,False,False,FK03,False,False
R179122199LE,LE_122004_ac339154,Dealskart warehouse,Dealskart warehouse begumpur khatola Manesar,Lenskart,TAU_DC_FMRTS,TAU_DC_FMRTS,LE_575004_ac339154,Dealskart warehouse begumpur khatola Manesar,100.0,100.0,100.0,High,100.0,True,True,15A1,False,False
R1838094529CL,CL_124103_S3EP,S3EP,"Jhajjar Rewari Road, NH71, New NH 352, Chainage Road, 401,370,Village Ghijarod, Jhajjar",Clovia,TAU_DC_FMRTS,,,,0.0,0.0,0.0,None,0.0,False,False,14A1,False,False
R1838095701CL,CL_124103_S3EP,S3EP,"Jhajjar Rewari Road, NH71, New NH 352, Chainage Road, 401,370,Village Ghijarod, Jhajjar",Clovia,TAU_DC_FMRTS,,,,0.0,0.0,0.0,None,0.0,False,False,14A1,False,False
R1838096611CL,CL_124103_S3EP,S3EP,"Jhajjar Rewari Road, NH71, New NH 352, Chainage Road, 401,370,Village Ghijarod, Jhajjar",Clovia,TAU_DC_FMRTS,,,,0.0,0.0,0.0,None,0.0,False,False,14A1,False,False
R1838096968CL,CL_124103_S3EP,S3EP,"Jhajjar Rewari Road, NH71, New NH 352, Chainage Road, 401,370,Village Ghijarod, Jhajjar",Clovia,TAU_DC_FMRTS,,,,0.0,0.0,0.0,None,0.0,False,False,14A1,False,False
R1838097281CL,CL_124103_S3EP,S3EP,"Jhajjar Rewari Road, NH71, New NH 352, Chainage Road, 401,370,Village Ghijarod, Jhajjar",Clovia,TAU_DC_FMRTS,,,,0.0,0.0,0.0,None,0.0,False,False,14A1,False,False
R1838097789CL,CL_124103_S3EP,S3EP,"Jhajjar Rewari Road, NH71, New NH 352, Chainage Road, 401,370,Village Ghijarod, Jhajjar",Clovia,TAU_DC_FMRTS,,,,0.0,0.0,0.0,None,0.0,False,False,14A1,False,False
